search_term,title,url,price,image_url
laptops,SGIN 15.6 Inch 4GB RAM 128GB SSD Laptop Notebook  Webcam USB3.0 Up to 2.6GHz,https://www.ebay.com/itm/235800350189?_skw=laptops&itmmeta=01JTM07V3PW59409A071BHTBV2&hash=item36e6cbcded:g:xkAAAOSwvitoGgT3&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1etqgKLnHugB64NvEnI02WJU9UNqk11bfgdSltiATq0I%2F8YXvcuqb7kvkY6MCN5OHenhEBP4%2FMjDrYN8C6PsHKeiY47YXvVM9zfaYoZkF4wUyYLGkyye5hpe%2FHG3Dm8jl%2BauZKzoWq0QpenhpgbE2ip6mlnyZ2VWebCg1HzCWSYb1PdPwv3RYVdiKJTA2Db%2BfuWZRtCF3kbdc1TN2Mbj%2B66nzhKyr4f9LY%2F38MGPz5lgbRoLUH%2Fe9m8craUf3EOPIgUFmYocqVcyN3%2BQ3AzxxqO%7Ctkp%3ABFBM0LKfgNVl,$125.99,
laptops,"Dell Latitude 7400 14"" HD Laptop Computer Core i5 16GB RAM 256GB SSD Windows 11",https://www.ebay.com/itm/283951308518?_skw=laptops&itmmeta=01JTM07V3PN4RE33JGYHDZ2H82&hash=item421cd11ee6:g:ZyAAAOSwC65oDGiy&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eRzkR9g7OAKOrkYwAu6BAr1OndQNavBC5xCN2uaJ3wEEl24AyfNWLFlaLTiuIcJgDP25cPazdZvtn%2FECK3zCvPqZsD4ie0czXZvT0J7nENSqiwMMh62XYAfcNjScGZsBu4k1Ibl447nGt%2FZTa1XUnnpW3AirO6Rk%2BjJVffTzy8lxnnL5PflBtnpxWfD%2BjVyHRRRwVpg%2BuvFkZd5AnVZDiCuD3DwFX9exG3J62VoUoiifMzzc6QWFJaxD4%2BUSNb9fI%2FZ8zj%2BoksUN4kP6RlTCIc%7Ctkp%3ABFBM0LKfgNVl,$201.48,
laptops,"CHUWI - 14.1"" Laptop - Intel Celeron 2.8GH- 8GB Memory - 256GB SSD - HDMI Silver",https://www.ebay.com/itm/335503508427?_skw=laptops&itmmeta=01JTM07V3P3GG2PEW3MEWAYDT7&hash=item4e1d9143cb:g:zfwAAOSwFflmC-Nt&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dRs%2BKqpvyW5NPqijqhA3ZNAY09PnuEgoWyrZRcpyVlrqK01OAjyCPKLj8e3NLE4hFr13rIWp84K3qIvAPkM4KTZ3Jq4rIxAnICww9qDjA81Ti9GINntNxinasSYWvTqdtT0W9olF79JiGe%2BY1cPSzKYA1oO88Ta5Ogz2EdOYlfhiXwt2W6AmaTszeZyVVmZ0R7NKYOsh17rtDgS0w%2Fuw48KX1jM65EzVs6kpwNXz9TlEPOQXxbA59HBO4kpBTwZ7Q9mgMRB59XhEMosBNwE8YA%7Ctkp%3ABFBM0LKfgNVl,$107.95,
laptops,"HP Chromebook 11 G6 11.6"" Intel 2.40 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD",https://www.ebay.com/itm/115603286837?_skw=laptops&itmmeta=01JTM07V3P3RST4FNTH4E2MRZJ&hash=item1aea7e2b35:g:yscAAOSwF25nW91c&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fCTHwQ7Jrwsb1XJPj9E0fuHmJoQD9b6%2BfbEUbiEOAo52AUYOXdzusM6xDIfRHfPsdRGyjOGKFGElFuKlb4ildFyuYar3kLcrtkfOApm261HdVTe%2FRLV8nP0f1yomarBVWlY1CGpEBsYXU3210j%2BGiDSWzktcPYX88JgNcqAxC%2FzNUbMwJfsQl7lk9jZX7lO5ho0TuIdxigk7p1HhCrsXDESVnBn%2BuH4AeEysgqu%2Ff3Z5rv0f6t%2FQ96e%2BwDcKzjCShg%2FIik52HqerXviYU7TlBn%7Ctkp%3ABFBM0LKfgNVl,$69.99,
laptops,"~BLACK FRIDAY SALE~ 15.6"" Dell Latitude Laptop PC: Intel i5! 16GB RAM~512GB SSD!",https://www.ebay.com/itm/115975817889?_skw=laptops&itmmeta=01JTM07V3PXW6G3EJMSPFCHC2H&hash=item1b00b28aa1:g:FnEAAOSwX3BnRKzr&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d1S%2FujLGY4eCJ1TbuMtynzksZTcDnXUCBQUvecTJwMCJ%2Foan10Y57VH45TDuJNkJghcNqvIEQgY9crpfvaXckQIVbgMlkGuP9OVge6rHJVYVK44Z%2BNRquxwEHrFnkyuU88f7PEuiOicYMu6%2Bmhy%2F7od7t2LarymvZcjqpwIBs3zePRjK%2FTVg9gMyY78BQod%2F0uOZIAm8ZVbXjUKAv7CAPAVcWyykyxBCU6LIq3ZUAKpSMergbw%2FDmBA1S434pzsWq7Q5wt%2F%2BnVnHBMK3aHwNB%2F%7Ctkp%3ABFBM0LKfgNVl,$219.95,
laptops,"HP Chromebook 11 G5 11.6"" Intel core 1.60 GHz 4GB RAM 16GB eMMC Bluetooth Webcam",https://www.ebay.com/itm/116039412507?_skw=laptops&itmmeta=01JTM07V3PZ32EHJEDH2NYQFYA&hash=item1b047ceb1b:g:-lQAAOSwNZpnly7T&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ck2EssV%2B7wkPahNDWhSXNZeJNq9OFXutPrCZtcYZKMxCCefV6ztsbL6L3HEnZ9RRm7JmAO6tuCAJMg6xvc3CoBgzwpgYo2LjDTHT1hszwhHzdWp0HWeVojOR1x4bohkmr6Bw6dqreFBUaYtr7o4NJEDs2%2BLPBY96DfBalskqc8m7ZNdk6Xl0HA6%2FSYDHMIfLG4I%2FmSDyWxVpfWQcVmFyBNvCk87WMN2Xt8bwqT%2Fhwb3SAFfFLqfS0FOylfhMjFEdGq9%2B9CYq4Fvdm%2FP2gJC4pI%7Ctkp%3ABFBM0LKfgNVl,$59.99,
laptops,"Lenovo Laptop PC Computer 11.6"" Intel Celeron N4000 4GB RAM 64GB SSD Windows 10",https://www.ebay.com/itm/254170214367?_skw=laptops&itmmeta=01JTM07V2ENS9FBNMSK7Y6WQF0&hash=item3b2db9afdf:g:MfsAAOSwUwJoFak-&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eiw%2BylSIPDjeO1gH%2BSHaPaSJfwsiCKXlRiIKrLm7qh2Np6kDcZL8G2eNWJt%2FR3DwnhYuFYzDjIV%2Bb8UD%2BcF9kkge0dJBq0opjWF3ioc%2B80U8aTl0SQEuK4MuXhmmtBQkzJwE24ijOoEWCqcX2occCKL98zk1F3bnSpcDynPi7WBYcGfYc9i1TFPoidGqhI%2FxRg8AZwOnUSw01b9DhGR5%2FPUJIIx6tzlcmUo87rLhsRpA%3D%3D%7Ctkp%3ABk9SR9Cxn4DVZQ,$82.19,
laptops,SGIN 15.6 Inch 4GB RAM 128GB SSD Laptop Notebook  Webcam USB3.0 Up to 2.6GHz,https://www.ebay.com/itm/235800350189?_skw=laptops&itmmeta=01JTM07V2EVCAT5YCM4F7N99BG&hash=item36e6cbcded:g:xkAAAOSwvitoGgT3&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1erO6FbboGO5ypRspPZtC5hn44A%2BkI2P3YKhz01lDarjp98xJHToJN0G4c%2BU78LO5CNYN5qs10XsGuVU5lUHF84dZ8XCZYkbR1QfEq4mka5v754R%2FnmZ58kb96BzMMlxKM78y1CoqZtNOsIo5oPZzWAZFuRTzqDq6gM1eh7kKP51h73uZ9LUR4rDMciKOfT7ATpUyTLiVvutPsdSFVulp98Gb5rg%2BW9blYIXt25UHgyDw%3D%3D%7Ctkp%3ABk9SR9Cxn4DVZQ,$125.99,
laptops,"HP Chromebook 11 G4 11.6"" 16GB eMMC Intel Celeron N2840 2.16 GHz 4GB RAM",https://www.ebay.com/itm/405782266609?_skw=laptops&epid=1561208837&itmmeta=01JTM07V2E6GJN7RAW4HK3KFZ6&hash=item5e7a8202f1:g:-PwAAOSwQWZoAmgZ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ct%2BXNyyvvdWZsaTPW%2BMrTrjvLSseNesaqwtPNIApJPwo%2FAWD6bdEL%2B0ndxjpqhz6nMyGmou6IrNFWHEoHnf12ZWTVLs%2BchQQjwUpJbpuxeq9%2FxWm%2B6GkHjT7jY4z1ah04lMF8QECplmmMVzAh%2BkzcchLucnNw258qc31Xo7%2FLtaBXi7Kh4Xgjy3xh1bxkHSLDDjs4o2d3t%2B49S7UibxgP8xXpf1BcFAjD785mB%2Fjr4xQ%3D%3D%7Ctkp%3ABk9SR9Cxn4DVZQ,$35.39,
laptops,"2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD",https://www.ebay.com/itm/126716305927?_skw=laptops&itmmeta=01JTM07V2EXEPC2W7NJ3H0RFCG&hash=item1d80e16207:g:2YQAAOSwoqxnCBl4&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dR0xxtGBF17ijuj0mVffLeul9L26nAP%2FW%2FAqMwiwaNtvK2IyAjPYmghTEi4VcKh8Z0D3ST22u6QZJ6Ce4MkbGsL1EoZCUVHJKGNWez8ri8hW3qX%2BGPKpF5OLtVPG5jQjmYWvLUMlRSqsI0Gy%2FnUeciGvKvLMid66lMX34%2FdNFXekgF%2BrcslizrbcRGRo%2B6O47A8PAS5dB7%2F%2B7PklsOoWefu689bKu787lMayKqwFSdfkAoskWxDn5%2Baku6Ii13b5XzNGbN%2FhoOyKcgPgN0kyFg%7Ctkp%3ABk9SR9Cxn4DVZQ,$239.00 to $359.00,
